id,budget_cheap,budget_reasonable,budget_expensive,priority_food,priority_drink,priority_atmosphere,priority_speed,can_alone,cannot_alone,shop_name,genre,reservation,reservation_availability,address,transportation,bussiness_hours,regular_holiday,budget_from_user,budget_from_user_night_min,budget_from_user_night_max,budget_from_user_lunch_min,budget_from_user_lunch_max,budget_from_shop,budget_from_shop_night_min,budget_from_shop_night_max,budget_from_shop_lunch_min,budget_from_shop_lunch_max,card,capacity,capacity_number,private_room,parking,facility,mobile_phone,scene,service,1st_poster,last_poster,reserved,smoking,drinking,cuisine,location,HP,official_account,opening_date,contact,remark,child_accompanied,charge,course,free_drink_course,related_store,link,tel,dress_code,id,latitude,longitude,genre_oaiso,URL,genre_oaiso_s
4,3,0,0,3,0,0,0.4,3,0,新宿さぼてん 大井町アトレ店,とんかつ,no data,,東京都品川区大井1-2-1アトレ大井町6F,大井町駅から156m,11:00～23:00ランチ営業、夜10時以降入店可、日曜営業,不定休（アトレに準ずる）,"[夜]￥1,000～￥1,999[昼]￥1,000～￥1,999",1000,1999,1000,1999,no data,,,,,no data,no data,,no data,no data,no data,no data,知人・友人と,no data,705（1）,no data,no data,no data,no data,no data,no data,http://www.ghf.co.jp/,no data,no data,no data,no data,no data,no data,no data,no data,新宿さぼてんの店舗一覧を見る,ホットペッパーグルメ,no data,no data,4,35.606212,139.734828,Ｂ級和食,https://tabelog.com/tokyo/A1315/A131501/13172041/,とんかつ
8,0,0,3,2.4,0,1.4,0,0,3,土古里 大井町店,焼肉、ホルモン、牛タン,no data,予約可,東京都品川区東大井5-2-7,JR京浜東北線大井町駅東口徒歩3分大井町駅から157m,■平日・土曜ランチ　　11：30～15：30ディナー　17：00～23：30■日曜・祝日ランチ　　11：30～15：30ディナー　15：30～23：30ランチ営業、夜10時以降入店可、日曜営業,無休,"[夜]￥6,000～￥7,999[昼]￥1,000～￥1,999",6000,7999,1000,1999,"[夜]￥6,000～￥7,999[昼]￥1,000～￥1,999",6000,7999,1000,1999,可（VISA、MASTER、JCB、AMEX、Diners）,84席,84,有（2人可、4人可、6人可、8人可、10～20人可）,無,オシャレな空間、落ち着いた空間、席が広い、ソファー席あり、座敷あり、掘りごたつあり,docomo、au、SoftBank、Y!mobile,家族・子供と｜知人・友人と,2時間半以上の宴会可、お祝い・サプライズ可、子供可、テイクアウト,ぬB（423）,no data,可（50人以上可）,全面喫煙可,日本酒あり、焼酎あり、ワインあり、カクテルあり、日本酒にこだわる、焼酎にこだわる、ワインにこだわる、カクテルにこだわる,野菜料理にこだわる、健康・美容メニューあり,隠れ家レストラン,http://www.to-ko-ri.jp/,no data,no data,no data,no data,no data,no data,食べ放題、4000円～5000円のコース、5000円～8000円のコース、8000円～10000円のコース、10000円以上のコース,飲み放題、4000円～5000円の飲み放題コース,土古里の店舗一覧を見る,no data,03-5783-1166,no data,8,35.6078487,139.7362303,焼肉・ホルモン・鍋,https://tabelog.com/tokyo/A1315/A131501/13019287/,焼肉
11,0,3,0,1.4,2.4,0,0,2,1,炭火焼居酒屋櫻井,居酒屋、焼酎バー、炭火焼き,no data,予約可,東京都品川区東大井6-5-5,東急大井町線、JR「大井町駅」より徒歩5分大井町駅から324m,[月、火、木～日、祝日、祝前日]17:00～翌1:00（料理L.O.翌0:30ドリンクL.O.翌0:30）夜12時以降入店可、日曜営業,水曜日。水曜日が祝日、祝前日の場合&年末年始はお問い合わせください。,"[夜]￥4,000～￥4,999",4000,4999,,,no data,,,,,可（VISA、MASTER、JCB、AMEX）,28席（1階：カウンター5～6席、テーブル4席×2、2階：テーブル15席）,28,有（6人可、8人可、10～20人可）2階をご利用の際、ご連絡ください！少人数でも、貸し切れます。,無,落ち着いた空間、カウンター席あり,docomo、au、SoftBank,,2時間半以上の宴会可、ドリンク持込可,はらへり呑んべぇ（387）,no data,可（20人～50人可）,全面喫煙可お二階を少人数〜貸し切りで、ご利用できます！ご相談ください！,日本酒あり、焼酎あり、ワインあり、カクテルあり、日本酒にこだわる、焼酎にこだわる,野菜料理にこだわる、魚料理にこだわる,隠れ家レストラン、一軒家レストラン,no data,https://www.facebook.com/sumibiyaki.sakurai,2015年7月1日,no data,宴会、コース料理など、お店にお問い合わせください。季節のお料理などお出しする為、あえて内容は、表示しておりません。どうぞお気軽に。,no data,お通し&テーブルチャージ料：450円（別途消費税）,3000円～4000円のコース、4000円～5000円のコース、5000円～8000円のコース、8000円～10000円のコース,no data,no data,no data,03-5715-3208,no data,11,35.6049101,139.7357832,居酒屋,https://tabelog.com/tokyo/A1315/A131501/13184513/,居酒屋
14,0,0,3,2,1.4,0,0.4,1,2,出世鮨,寿司,no data,,東京都品川区東大井5-4-19,ＪＲ京浜東北線大井町駅　東口　徒歩3分　東急大井町線大井町駅　中央口　徒歩3分　りんかい線大井町駅　中央口　徒歩4分大井町駅から208m,[月～金]17:00～翌01:00(L.O.24:30)[土・日・祝]17:00～翌0:30(L.O.24:00)夜10時以降入店可、日曜営業,水曜日,"[夜]￥6,000～￥7,999",6000,7999,,,no data,,,,,可（VISA、MASTER、JCB、AMEX、Diners）,17席（カウンター11席、テーブル6席）,17,無,無,no data,no data,知人・友人と,no data,りあん（1）,katsu110611（0）...店舗情報（'17/08/1921:48）編集履歴を詳しく見る,no data,no data,日本酒あり、焼酎あり,no data,no data,no data,no data,no data,no data,目の前にコインパーキングあり,no data,no data,no data,no data,no data,no data,no data,no data,14,35.6078431,139.7367719,高級和食,https://tabelog.com/tokyo/A1315/A131501/13059010/,寿司
19,3,0,0,1.8,0,0,2.4,3,0,永楽　そば店,ラーメン、餃子,no data,予約不可,東京都品川区東大井5-3-2,JR京浜東北線　大井町駅　徒歩１分東急大井町線　大井町駅改札出て左、線路を越えて線路沿いを左に入り一本目の路地を右に曲がり左側　大井町駅から100m,【平日】11:30～22:00(L.O.21:20)【土・日・祝日】11:30～21:00(L.O.20:20)ランチ営業、日曜営業,月曜・第３火曜,[夜]～￥999[昼]～￥999,0,999,0,999,no data,,,,,不可,45席（1階　カウンター15席　テーブル8席　2階　テーブル24席）,45,無,無,カウンター席あり,docomo、au、SoftBank、Y!mobile,一人で入りやすい｜知人・友人と,no data,徹っちゃん（183）,ヒデチャンス（0）...店舗情報（'17/08/0319:34）ビビらない（10）...店舗情報（'16/10/0919:50）編集履歴を詳しく見る,不可,全面喫煙可,日本酒あり,no data,no data,no data,no data,1956年,no data,東小路飲食店街夏休み休暇あり,no data,no data,no data,no data,no data,no data,no data,no data,19,35.6075792,139.7355664,Ｂ級和食,https://tabelog.com/tokyo/A1315/A131501/13001868/,そば
20,0,3,0,1,1.8,0,1,2,1,俺のやきとり 大井町,焼鳥、割烹・小料理,no data,予約可ご予約は2名様から承っております。尚、コースは４名様よりお承りしております。キャンセル料は頂いておりませんが、他のお客様のご迷惑となりますので、仮予約はお承りしておりません。確定したご予約をお願い致します。“食べログ会員限定”ネット予約で来店するともれなく全員にANAのマイルをプレゼント！,東京都品川区大井1-1-16,ＪＲ京浜東北線東口または西口、東急大井町線、りんかい線「大井町駅」路上より徒歩4分大井町駅から307m,[月～土]16:00～23:30(L.O.22:30まで)※最終ご入店時間　22時20分※22時以降入店可[日・祝]16:00～22:30（L.O.21:30まで）※最終ご入店時間　21時20分夜10時以降入店可、日曜営業,不定休（年末年始も営業）,"[夜]￥3,000～￥3,999",3000,3999,,,"[夜]￥3,000～￥3,999",3000,3999,,,可（VISA、MASTER、JCB、AMEX、Diners）,79席（全席着席　（総席数79席：カウンター席も含む）　※予約可）,79,無,無,カウンター席あり、ソファー席あり,docomo、au、SoftBank、Y!mobile,家族・子供と｜知人・友人と,お祝い・サプライズ可、ドリンク持込可、子供可,なつけろ（1）,no data,可（50人以上可）,完全禁煙※店舗の外も禁煙区域です。ご協力お願い致します。,日本酒あり、焼酎あり、ワインあり、カクテルあり、日本酒にこだわる、ワインにこだわる,野菜料理にこだわる、魚料理にこだわる,no data,http://www.oreno.co.jp/restaurant/%E4%BF%BA%E3%81%AE%E3%82%84%E3%81%8D%E3%81%A8%E3%82%8A%E3%80%80%E5%A4%A7%E4%BA%95%E7%94%BA/,no data,2013年4月26日,no data,ご予約のお客様は列に並ばず店舗入口付近でお待ち下さいませ。ご予約時間2～3分前にご到着をお願い致します。（※お待ち頂くスペースが無い為）逆にご到着が10分以上遅れた場合、自動的にキャンセル扱いになる場合が御座います。店舗営業中はお問い合わせ等の電話に出難い場合がございます。ご理解の程、お願い申し上げます。※当店の「ご予約席」は基本的にお通しをお出し出来る年齢（目安として１歳以上のお子様・当店のお料理を口に出来るお子様）の方にご用意させて頂いております。,店内の席配置の関係上、ベビーカーでの入店が困難です。ご来店の際は「抱っこひも」などでの対応をお願いしております。ご協力の程、何卒宜しくお願い致します。,お通し　お1人様３００円,4000円～5000円のコース,飲み放題、4000円～5000円の飲み放題コース,no data,no data,03-6429-7805,no data,20,35.5977555,139.7379918,Ｂ級和食,https://tabelog.com/tokyo/A1315/A131501/13109557/,焼鳥
24,0,3,0,1,2.4,0,0,2,1,地酒屋のぼる,居酒屋、日本酒バー,no data,予約可備考の注意事項をご覧になってからご予約ください。ご予約時間に遅れられる際は、必ずご連絡ください。当店からもご連絡しますが、ご予約時間を過ぎて１５分経ってもご連絡がつかない場合、次のお客様をご案内することがございます。コース料理は前日までに予約お願い致します。飲み放題のみの予約はできませんのでご了承ください。,東京都品川区大井1-25-91F,大井町駅より、迷わなければ徒歩5分ちょっと走ると3分!!!※曲がる道を間違われる方が多くいらっしゃいます。大井町駅から334m,*営業時間*[月~金・土・祝]17:30〜L.O.22:00閉店23:0021:30以降の入店は現在承っておりません。金曜日のみ、ご予約の時間を「19:30までのご来店」とさせていただきます。皆様お揃いの上、19:30までのご来店ご協力よろしくお願い致します。（ご予約以外の場合、当日の19:30以降お席が空いていればご案内致します。）,基本的に日曜　不定休　要問合せ,"[夜]￥3,000～￥3,999",3000,3999,,,"[夜]￥3,000～￥3,999",3000,3999,,,可（VISA、MASTER）,30席（カウンター10席／テーブル5席×4）,30,無,無,オシャレな空間、落ち着いた空間、カウンター席あり,docomo、au、SoftBank、Y!mobile,知人・友人と,no data,ジェシカンヌ（26）,no data,不可,完全禁煙路上禁煙のため店内外全面禁煙です。,日本酒あり、焼酎あり、ワインあり、日本酒にこだわる、ワインにこだわる,野菜料理にこだわる、魚料理にこだわる、健康・美容メニューあり、ベジタリアンメニューあり,隠れ家レストラン,no data,https://www.facebook.com/%E5%9C%B0%E9%85%92%E5%B1%8B%E3%81%AE%E3%81%BC%E3%82%8B%E5%B9%9F-306452492789539/,2013年1月7日,no data,【ご予約に関する注意事項】■禁煙について当店内は全面禁煙、路上も喫煙禁止で、区から注意をうけております。ご来店時の喫煙は一切ご遠慮いただいております。お連れ様も含めましてそちらをご了承いただいた上でご予約ください。ご予約の際、必ずご確認させていただいております。■仕入れ・お魚について魚に関しましては、毎日新鮮なものをご用意できるよう、その日使い切れる量をできる限り毎日空輸で入荷しております。遅い時間帯になるとなくなってしまうこともありますことをご了承ください。（ご希望であればご予約時にお取り置きを承ります,不可お子様用の食事、飲物の御用意がありません。酒と食を楽しむ空間のため、御理解の程、宜しくお願いします。,お通し代として御一人様500円頂戴しております。,食べ放題、3000円～4000円のコース,飲み放題、3000円～4000円の飲み放題コース,no data,no data,03-3776-0319,no data,24,35.6055155,139.7320334,バー・お酒,https://tabelog.com/tokyo/A1315/A131501/13151396/,日本酒バー
27,0,3,0,3,0,0,0,0,3,炭火焼肉 唐がらし,焼肉、居酒屋、韓国料理,no data,予約可予約当日のキャンセルはできかねますので予めご了承下さい。,東京都品川区東大井5-1-9,各線大井町駅東口より徒歩3分。すずらん通りに入って約200m左側。大井町駅から204m,火～土17:00-25:00日、祝17:00-24:00▼こちらから360°店内を見渡せます！http://goo.gl/maps/Rvr7W▼WEB予約はこちらhttps://yoyaku.toreta.in/tougarashi/夜10時以降入店可、夜12時以降入店可、日曜営業,月曜日,"[夜]￥5,000～￥5,999",5000,5999,,,"[夜]￥5,000～￥5,999",5000,5999,,,可（JCB、VISA、MASTER、AMEX、Diners）,40席,40,有,無,落ち着いた空間、席が広い、ソファー席あり、座敷あり、掘りごたつあり,docomo、au、SoftBank、Y!mobile,家族・子供と｜知人・友人と,子供可、ペット可,スイートデビル（59）,no data,可,全面喫煙可,日本酒あり、焼酎あり、ワインあり,no data,no data,http://www.ooimachi-tougarashi.com,no data,1998年7月7日,no data,no data,お座敷席もございまずので、ご家族でいらして下さい。,5%,3000円～4000円のコース、5000円～8000円のコース,飲み放題、3000円～4000円の飲み放題コース、4000円～5000円の飲み放題コース,no data,no data,no data,no data,27,35.6081014,139.7365969,焼肉・ホルモン・鍋,https://tabelog.com/tokyo/A1315/A131501/13009403/,焼肉
51,0,3,0,3,0.4,0.4,0,3,0,プティタプティ,フレンチ,no data,予約可,東京都品川区大井1-43-5ソレイユ大井1F,大井町駅から徒歩5分三ツ又交差点のところ、ヒノミドラッグの裏大井町駅から456m,[火～日]12:00～15:00(L.O.14:00)18:00～23:00(L.O.21:30)ランチ営業、日曜営業,月曜定休,"[夜]￥5,000～￥5,999[昼]￥1,000～￥1,999",5000,5999,1000,1999,no data,,,,,不可,16席（カウンター4席、テーブル2席×6席）,16,無,無,落ち着いた空間、カウンター席あり,docomo、au、SoftBank、Y!mobile,家族・子供と｜デート｜知人・友人と,お祝い・サプライズ可、子供可,sayaya513（1）,コネリー（4014）...店舗情報（'12/12/1213:47）伊集院麗子（0）...店舗情報（'11/10/1821:16）編集履歴を詳しく見る,可（20人以下可）,完全禁煙,ワインあり、カクテルあり,no data,隠れ家レストラン,http://www.petit-a-p.jp/,no data,2011年2月7日,no data,no data,no data,なし,3000円以下のコース、3000円～4000円のコース、4000円～5000円のコース、5000円～8000円のコース,no data,no data,no data,no data,no data,51,35.6037821,139.7325413,洋食・西洋料理,https://tabelog.com/tokyo/A1315/A131501/13122539/,フレンチ
53,3,0,0,1,1.4,0,1.8,3,0,肉のまえかわ,焼鳥、立ち飲み居酒屋・バー、天ぷら・揚げ物（その他）,no data,,東京都品川区東大井5-2-9,JR大井町西口、東急大井町駅より徒歩3分大井町駅から133m,16:00～20:30（だいだいの目安と理解ください）2016/12/1より、21:30閉店に変更(ラストオーダーは平日21:15/土曜祭日20:45)と貼り紙あり。,月１回　土・日か日・月の連休,[夜]～￥999[昼]～￥999,0,999,0,999,no data,,,,,no data,no data,,no data,no data,no data,au、docomo、SoftBank,知人・友人と,テイクアウト,comcomcom/com（5）,ふぁんふぁんた（2）...店舗情報（'17/01/2314:34）編集履歴を詳しく見る,no data,全面喫煙可,日本酒あり、焼酎あり,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,53,35.6075903,139.7360192,Ｂ級和食,https://tabelog.com/tokyo/A1315/A131501/13012571/,焼鳥
